Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
392,Isaac Price\b9403c99,nir NIR,MF,Everton,17,2003,0.2,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
393,Teemu Pukki\0745b37d,fi FIN,FW,Norwich City,31,1990,36.1,392,526,74.5,6053,849,222,276,80.4,130,167,77.8,28,40,70.0,3,2.8,+0.2,25,16,6,1,24,Matches
394,Christian Pulisic\1bf33a9a,us USA,MFFW,Chelsea,22,1998,14.3,368,462,79.7,5338,1043,232,269,86.2,119,145,82.1,11,19,57.9,2,1.2,+0.8,15,23,10,0,30,Matches
395,Przemysław Płacheta\3c33f9d9,pl POL,FWMF,Norwich City,23,1998,5.6,107,157,68.2,1840,560,57,68,83.8,33,45,73.3,13,25,52.0,0,0.7,-0.7,4,9,4,2,12,Matches
396,Jesuran Rak Sakyi\45685411,eng ENG,FWMF,Crystal Palace,18,2002,0.9,25,30,83.3,322,56,17,19,89.5,6,7,85.7,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
397,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23,1998,34.0,788,1156,68.2,22393,13488,181,183,98.9,356,362,98.3,247,604,40.9,0,0.0,0.0,0,28,0,0,1,Matches
398,Jacob Ramsey\1544f145,eng ENG,MF,Aston Villa,20,2001,27.4,898,1042,86.2,15450,3923,434,484,89.7,348,389,89.5,97,120,80.8,1,2.0,-1.0,19,88,22,3,93,Matches
399,Marcus Rashford\a1d5bd30,eng ENG,FWMF,Manchester Utd,23,1997,13.7,297,422,70.4,4190,851,185,236,78.4,84,121,69.4,15,33,45.5,2,2.0,0.0,9,18,11,3,26,Matches
400,Milot Rashica\6c6a3300,xk KVX,FWMF,Norwich City,25,1996,24.8,376,597,63.0,7238,2210,167,213,78.4,148,217,68.2,56,138,40.6,2,2.6,-0.6,37,31,22,8,41,Matches
401,David Raya\98ea5115,es ESP,GK,Brentford,25,1995,24.0,705,1051,67.1,24502,16309,98,98,100.0,282,288,97.9,322,659,48.9,0,0.0,0.0,1,36,1,0,3,Matches
402,Nathan Redmond\ab651565,eng ENG,MFFW,Southampton,27,1994,20.4,511,726,70.4,8591,2591,264,318,83.0,180,257,70.0,49,114,43.0,5,4.3,+0.7,34,31,44,14,78,Matches
403,Sergio Reguilón\3353737a,es ESP,DF,Tottenham,24,1996,21.3,744,986,75.5,13194,4159,356,420,84.8,307,391,78.5,72,132,54.5,3,4.0,-1.0,30,32,29,20,52,Matches
404,Declan Rice\1c7012b8,eng ENG,MF,West Ham,22,1999,35.3,1950,2151,90.7,39536,9246,730,781,93.5,879,942,93.3,320,387,82.7,4,2.0,+2.0,24,242,31,10,149,Matches
405,Taylor Richards\e0243d23,eng ENG,MFFW,Brighton,20,2000,0.3,23,27,85.2,431,111,7,8,87.5,12,14,85.7,3,3,100.0,0,0.0,0.0,0,2,0,0,2,Matches
